,GUI_screens,manual_steps,transaction_time,volume,FTE,SLA,Decision_points,Business_exception
0,15,90,5,5,3.0,0,7,13
1,31,75,40,2,2.0,0,3,3
2,26,120,32,1000,2.0,1,2,5
3,15,40,100,5,1.0,0,15,10
4,10,30,90,5,1.0,1,4,5
5,40,200,30,25,6.0,1,25,20
6,15,80,20,5,3.0,0,4,5
7,380,15,60,14,3.0,1,20,15
8,15,500,200,20000,1.0,1,20,40
9,7,15,3,20,2.0,0,10,10
10,7,15,7,30,2.0,1,30,75
11,380,10,1,30,1.0,0,15,10
12,380,10,2,20,1.0,0,15,10
13,60,150,15,10,1.0,1,10,3
14,10,25,5,5,1.0,0,5,7
15,10,25,8,80,2.0,1,5,11
16,15,50,10,10,1.0,0,5,15
17,20,135,15,20,7.0,1,5,15
18,13,34,75,1,1.0,0,2,6
19,17,550,15,6000,1.0,1,8,10
20,45,250,8,5,1.0,1,40,30
21,25,1000,5,15,1.0,1,10,25
22,380,850,40,1,5.0,0,40,100
23,15,40,4,2000,1.0,0,10,7
24,12,20,30,1,1.0,1,4,3
25,30,70,15,12,1.0,1,15,10
26,50,90,300,2,1.0,1,15,10
27,5,140,60,1,0.25,0,7,15
28,7,184,20,1,0.575,0,6,20
29,25,190,15,1,4.16,0,10,21
